"year";"survey";"prov";"wat";"hhsize";"popwt";"hhwt";"count";"perc"
2003;"DHS 2003";"Cabo Delgado";"";1;2954322;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"";4;4434216;1108554;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";0;0;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";1;651910;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";1;1358666;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";2;1167094;583547;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";2;1642214;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";2;1957614;978807;3;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";3;1813566;604522;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";3;2936421;978807;2;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";4;2607640;651910;2;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";4;3284428;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";4;3915228;978807;4;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";4;5434664;1358666;2;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";5;4105535;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";5;4894035;978807;4;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";5;6793330;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";5;8472830;1694566;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";6;3911460;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";6;5872842;978807;3;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";7;6851649;978807;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";7;12189982;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";9;5251923;583547;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";9;8809263;978807;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";10;17414260;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";10;21152950;2115295;1;100
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";11;10766877;978807;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";1;651910;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";1;1358666;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";2;1642214;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";2;2717332;1358666;3;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";3;2463321;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";4;2607640;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";4;5434664;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";5;5542770;1108554;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";5;13865935;2773187;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";6;4926642;821107;2;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";6;5872842;978807;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";8;6568856;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";8;10869328;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";9;19037656;2115295;1;100
2003;"DHS 2003";"Cabo Delgado";"In Own Land";11;9032177;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";3;5224278;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";5;8707130;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";7;12189982;1741426;3;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";8;12788992;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";8;13931408;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";10;17414260;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";11;19155686;1741426;2;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";12;20897112;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";13;22638538;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside The House";5;8707130;1741426;3;100
2003;"DHS 2003";"Cabo Delgado";"Inside The House";6;4926642;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside The House";7;12189982;1741426;2;100
2003;"DHS 2003";"Cabo Delgado";"Inside The House";8;13931408;1741426;1;100
2003;"DHS 2003";"Cabo Delgado";"Inside The House";11;19155686;1741426;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";1;476008;476008;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";1;1343750;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;704456;352228;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;789524;394762;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;1303820;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;1524144;762072;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;2008462;1004231;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";2;2687500;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;1955730;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;2286216;762072;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;3012693;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;4031250;1343750;5;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;3048288;762072;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;3677504;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;4016924;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;4283980;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;5375000;1343750;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";5;3259550;651910;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";5;5021155;1004231;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;2368572;394762;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;6025386;1004231;4;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;6425970;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;8062500;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;8604516;1434086;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;11625648;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";7;2763334;394762;1;100
