"year";"survey";"prov";"wat";"count";"perc"
2001;"QUIBB 2000-2001";"Cabo Delgado";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";35;2,5830258302583
2001;"QUIBB 2000-2001";"Cabo Delgado";"Compra De Outros, Cisterna";2;0,14760147601476
2001;"QUIBB 2000-2001";"Cabo Delgado";"Outras Fontes";1;0,0738007380073801
2001;"QUIBB 2000-2001";"Cabo Delgado";"PoÁO N„O Protegido, ·Gua Da Chuva";553;40,8118081180812
2001;"QUIBB 2000-2001";"Cabo Delgado";"PoÁO Protegido";105;7,74907749077491
2001;"QUIBB 2000-2001";"Cabo Delgado";"Rio, Lago, Lagoa";309;22,8044280442804
2001;"QUIBB 2000-2001";"Cabo Delgado";"Torneira P˙Blica/Fontan·Rio";350;25,830258302583
2001;"QUIBB 2000-2001";"Gaza";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";62;4,97592295345104
2001;"QUIBB 2000-2001";"Gaza";"Compra De Outros, Cisterna";45;3,6115569823435
2001;"QUIBB 2000-2001";"Gaza";"Outras Fontes";35;2,80898876404494
2001;"QUIBB 2000-2001";"Gaza";"PoÁO N„O Protegido, ·Gua Da Chuva";182;14,6067415730337
2001;"QUIBB 2000-2001";"Gaza";"PoÁO Protegido";276;22,1508828250401
2001;"QUIBB 2000-2001";"Gaza";"Rio, Lago, Lagoa";127;10,1926163723917
2001;"QUIBB 2000-2001";"Gaza";"Torneira P˙Blica/Fontan·Rio";519;41,653290529695
2001;"QUIBB 2000-2001";"Inhambane";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";18;1,3353115727003
2001;"QUIBB 2000-2001";"Inhambane";"Compra De Outros, Cisterna";84;6,23145400593472
2001;"QUIBB 2000-2001";"Inhambane";"Outras Fontes";16;1,18694362017804
2001;"QUIBB 2000-2001";"Inhambane";"PoÁO N„O Protegido, ·Gua Da Chuva";681;50,5192878338279
2001;"QUIBB 2000-2001";"Inhambane";"PoÁO Protegido";353;26,186943620178
2001;"QUIBB 2000-2001";"Inhambane";"Rio, Lago, Lagoa";143;10,6083086053412
2001;"QUIBB 2000-2001";"Inhambane";"Torneira P˙Blica/Fontan·Rio";53;3,93175074183976
2001;"QUIBB 2000-2001";"Manica";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";4;0,371402042711235
2001;"QUIBB 2000-2001";"Manica";"Compra De Outros, Cisterna";2;0,185701021355617
2001;"QUIBB 2000-2001";"Manica";"PoÁO N„O Protegido, ·Gua Da Chuva";256;23,769730733519
2001;"QUIBB 2000-2001";"Manica";"PoÁO Protegido";183;16,991643454039
2001;"QUIBB 2000-2001";"Manica";"Rio, Lago, Lagoa";340;31,569173630455
2001;"QUIBB 2000-2001";"Manica";"Torneira P˙Blica/Fontan·Rio";292;27,1123491179201
2001;"QUIBB 2000-2001";"Maputo Cidade";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";479;35,6133828996283
2001;"QUIBB 2000-2001";"Maputo Cidade";"Compra De Outros, Cisterna";9;0,669144981412639
2001;"QUIBB 2000-2001";"Maputo Cidade";"Outras Fontes";1;0,0743494423791822
2001;"QUIBB 2000-2001";"Maputo Cidade";"PoÁO N„O Protegido, ·Gua Da Chuva";30;2,23048327137546
2001;"QUIBB 2000-2001";"Maputo Cidade";"PoÁO Protegido";101;7,5092936802974
2001;"QUIBB 2000-2001";"Maputo Cidade";"Torneira P˙Blica/Fontan·Rio";725;53,9033457249071
2001;"QUIBB 2000-2001";"Maputo Provincia";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";259;19,8772064466615
2001;"QUIBB 2000-2001";"Maputo Provincia";"Compra De Outros, Cisterna";300;23,0237912509593
2001;"QUIBB 2000-2001";"Maputo Provincia";"Outras Fontes";16;1,2279355333845
2001;"QUIBB 2000-2001";"Maputo Provincia";"PoÁO N„O Protegido, ·Gua Da Chuva";193;14,8119723714505
2001;"QUIBB 2000-2001";"Maputo Provincia";"PoÁO Protegido";86;6,60015349194167
2001;"QUIBB 2000-2001";"Maputo Provincia";"Rio, Lago, Lagoa";112;8,59554873369148
2001;"QUIBB 2000-2001";"Maputo Provincia";"Torneira P˙Blica/Fontan·Rio";337;25,863392171911
2001;"QUIBB 2000-2001";"Nampula";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";41;2,99707602339181
2001;"QUIBB 2000-2001";"Nampula";"Compra De Outros, Cisterna";56;4,09356725146199
2001;"QUIBB 2000-2001";"Nampula";"Outras Fontes";1;0,0730994152046784
2001;"QUIBB 2000-2001";"Nampula";"PoÁO N„O Protegido, ·Gua Da Chuva";671;49,0497076023392
2001;"QUIBB 2000-2001";"Nampula";"PoÁO Protegido";46;3,3625730994152
2001;"QUIBB 2000-2001";"Nampula";"Rio, Lago, Lagoa";309;22,5877192982456
2001;"QUIBB 2000-2001";"Nampula";"Torneira P˙Blica/Fontan·Rio";244;17,8362573099415
2001;"QUIBB 2000-2001";"Niassa";"";1;0,103092783505155
2001;"QUIBB 2000-2001";"Niassa";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";9;0,927835051546392
2001;"QUIBB 2000-2001";"Niassa";"PoÁO N„O Protegido, ·Gua Da Chuva";514;52,9896907216495
2001;"QUIBB 2000-2001";"Niassa";"PoÁO Protegido";248;25,5670103092783
2001;"QUIBB 2000-2001";"Niassa";"Rio, Lago, Lagoa";146;15,0515463917526
2001;"QUIBB 2000-2001";"Niassa";"Torneira P˙Blica/Fontan·Rio";52;5,36082474226804
2001;"QUIBB 2000-2001";"Sofala";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";59;4,52453987730061
2001;"QUIBB 2000-2001";"Sofala";"Compra De Outros, Cisterna";60;4,60122699386503
2001;"QUIBB 2000-2001";"Sofala";"Outras Fontes";11;0,843558282208589
2001;"QUIBB 2000-2001";"Sofala";"PoÁO N„O Protegido, ·Gua Da Chuva";281;21,5490797546012
2001;"QUIBB 2000-2001";"Sofala";"PoÁO Protegido";168;12,8834355828221
2001;"QUIBB 2000-2001";"Sofala";"Rio, Lago, Lagoa";380;29,1411042944785
2001;"QUIBB 2000-2001";"Sofala";"Torneira P˙Blica/Fontan·Rio";345;26,4570552147239
2001;"QUIBB 2000-2001";"Tete";"";2;0,160128102481986
2001;"QUIBB 2000-2001";"Tete";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";50;4,00320256204964
2001;"QUIBB 2000-2001";"Tete";"Outras Fontes";24;1,92153722978383
2001;"QUIBB 2000-2001";"Tete";"PoÁO N„O Protegido, ·Gua Da Chuva";266;21,2970376301041
2001;"QUIBB 2000-2001";"Tete";"PoÁO Protegido";305;24,4195356285028
2001;"QUIBB 2000-2001";"Tete";"Rio, Lago, Lagoa";469;37,5500400320256
2001;"QUIBB 2000-2001";"Tete";"Torneira P˙Blica/Fontan·Rio";133;10,648518815052
2001;"QUIBB 2000-2001";"Zambezia";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";1;0,0816326530612245
2001;"QUIBB 2000-2001";"Zambezia";"PoÁO N„O Protegido, ·Gua Da Chuva";970;79,1836734693878
2001;"QUIBB 2000-2001";"Zambezia";"PoÁO Protegido";157;12,8163265306122
2001;"QUIBB 2000-2001";"Zambezia";"Rio, Lago, Lagoa";48;3,91836734693878
2001;"QUIBB 2000-2001";"Zambezia";"Torneira P˙Blica/Fontan·Rio";49;4
2003;"DHS 2003";"Cabo Delgado";"";2;0,184672206832872
2003;"DHS 2003";"Cabo Delgado";"In Neighbor'S Land";38;3,50877192982456
2003;"DHS 2003";"Cabo Delgado";"In Own Land";18;1,66204986149584
2003;"DHS 2003";"Cabo Delgado";"Inside Neighbor'S House";12;1,10803324099723
2003;"DHS 2003";"Cabo Delgado";"Inside The House";9;0,831024930747922
2003;"DHS 2003";"Cabo Delgado";"Other";45;4,15512465373961
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";262;24,1920590951062
2003;"DHS 2003";"Cabo Delgado";"Public Water";102;9,41828254847645
2003;"DHS 2003";"Cabo Delgado";"River/Lake";106;9,7876269621422
2003;"DHS 2003";"Cabo Delgado";"Unprotected Public Well";489;45,1523545706371
2003;"DHS 2003";"Gaza";"In Neighbor'S Land";38;3,41726618705036
2003;"DHS 2003";"Gaza";"In Own Land";13;1,16906474820144
2003;"DHS 2003";"Gaza";"Inside Neighbor'S House";94;8,45323741007194
2003;"DHS 2003";"Gaza";"Inside The House";60;5,39568345323741
2003;"DHS 2003";"Gaza";"Other";15;1,34892086330935
2003;"DHS 2003";"Gaza";"Protected Public Well";355;31,9244604316547
