Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Zumbu;51301;Tete Zumbo Zumbo;Tete;Zumbo;Zumbo;Zumbo;Surface water;1007;42,3
Zulo;91103;Gaza Massingir Zulo;Gaza;Massingir;Zulo;Zulo;Surface water;687;53,7
Zongoene-Sede;91203;Gaza Limpopo Zongoene-Sede;Gaza;Limpopo;Zongoene-Sede;Zongoene-Sede;Surface water;50;2,6
Zóbue;51003;Tete Moatize Zobue;Tete;Moatize;Zobue;Zobue;Surface water;1935;18,2
Zitundo;100605;Maputo Provincia Matutuine Zitundo;Maputo Provincia;Matutuine;Zitundo;Zitundo;Surface water;23;2,6
Zinave;80803;Inhambane Mabote Zinave;Inhambane;Mabote;Zinave;Zinave;Surface water;621;36,4
Zimane;80802;Inhambane Mabote Zimane;Inhambane;Mabote;Zimane;Zimane;Surface water;234;27,6
Zembe;61102;Manica Macate Zembe;Manica;Macate;Zembe;Zembe;Surface water;292;12,8
Zandamela;81402;Inhambane Zavala Zandamela;Inhambane;Zavala;Zandamela;Zandamela;Surface water;264;4,3
Zambue;51303;Tete Zumbo Zambue;Tete;Zumbo;Zambue;Zambue;Surface water;120;5,8
Xinavane;100405;Maputo Provincia Manhi.a Xinavane;Maputo Provincia;Manhi.a;Xinavane;Xinavane;Surface water;227;7,4
Xilembene;90604;Gaza Chokwe Xilembene;Gaza;Chokwe;Xilembene;Xilembene;Surface water;402;6,1
Vunduzi;70803;Sofala Gorongosa Vunduzi;Sofala;Gorongosa;Vunduzi;Vunduzi;Surface water;1731;37
Vilankulo;81301;Inhambane Vilankulo Vilankulo;Inhambane;Vilankulo;Vilankulo;Vilankulo;Surface water;194;2,2
Vila da Macia;90201;Gaza Bilene Municipio da Macia;Gaza;Bilene;Municipio da Macia;NA;Surface water;0;0
Vila Caniçado;90701;Gaza Guija Vila Cani.ado;Gaza;Guija;Vila Cani.ado;Vila Cani.ado;Surface water;5;0,6
Vanduzi;61201;Manica Vanduzi Vanduzi;Manica;Vanduzi;Vanduzi;Vanduzi;Surface water;597;7,3
