"year";"survey";"prov";"wat4";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"Cabo Delgado";"Improved";368164,818778992;30,1267187473684
2001;"QUIBB 2000-2001";"Cabo Delgado";"Surface water";287818,170822144;23,5519980195227
2001;"QUIBB 2000-2001";"Cabo Delgado";"Unimproved";566071,167263031;46,3212832331089
2001;"QUIBB 2000-2001";"Gaza";"Improved";650034,601182938;50,6457974785861
2001;"QUIBB 2000-2001";"Gaza";"Surface water";111413,84803772;8,68052742693974
2001;"QUIBB 2000-2001";"Gaza";"Unimproved";522043,239221573;40,6736750944741
2001;"QUIBB 2000-2001";"Inhambane";"Improved";147295,731559753;12,0528936032147
2001;"QUIBB 2000-2001";"Inhambane";"Surface water";121365,863838196;9,93110817546401
2001;"QUIBB 2000-2001";"Inhambane";"Unimproved";953416,159610748;78,0159982213213
2001;"QUIBB 2000-2001";"Manica";"Improved";207285,270875931;30,1887411398198
2001;"QUIBB 2000-2001";"Manica";"Surface water";175962,591781616;25,626949329972
2001;"QUIBB 2000-2001";"Manica";"Unimproved";303383,189349174;44,1843095302082
2001;"QUIBB 2000-2001";"Maputo Cidade";"Improved";812216,898807526;93,1897753514086
2001;"QUIBB 2000-2001";"Maputo Cidade";"Unimproved";59356,0776748657;6,81022464859142
2001;"QUIBB 2000-2001";"Maputo Provincia";"Improved";889210,601978302;72,6830374244798
2001;"QUIBB 2000-2001";"Maputo Provincia";"Surface water";91695,6446762085;7,49509504141663
2001;"QUIBB 2000-2001";"Maputo Provincia";"Unimproved";242502,451560974;19,8218675341036
2001;"QUIBB 2000-2001";"Nampula";"Improved";777941,957427979;26,6863241962809
2001;"QUIBB 2000-2001";"Nampula";"Surface water";645739,857208252;22,1512967791236
2001;"QUIBB 2000-2001";"Nampula";"Unimproved";1491451,61365509;51,1623790245955
2001;"QUIBB 2000-2001";"Niassa";"Improved";51641,8358078003;7,80460081495873
2001;"QUIBB 2000-2001";"Niassa";"Surface water";95361,6827850342;14,4119560340552
2001;"QUIBB 2000-2001";"Niassa";"Unimproved";514681,00611496;77,7834431509861
2001;"QUIBB 2000-2001";"Sofala";"Improved";552161,837364197;38,2754177966356
2001;"QUIBB 2000-2001";"Sofala";"Surface water";344714,250778198;23,8953166918835
2001;"QUIBB 2000-2001";"Sofala";"Unimproved";545725,636802673;37,8292655114809
2001;"QUIBB 2000-2001";"Tete";"Improved";169624,574440002;15,8403580691814
2001;"QUIBB 2000-2001";"Tete";"Surface water";428592,328281403;40,0240116627848
2001;"QUIBB 2000-2001";"Tete";"Unimproved";472621,102954865;44,1356302680337
2001;"QUIBB 2000-2001";"Zambezia";"Improved";153689,077209473;6,90511351771573
2001;"QUIBB 2000-2001";"Zambezia";"Surface water";79095,0902404785;3,55367204176831
2001;"QUIBB 2000-2001";"Zambezia";"Unimproved";1992944,29907227;89,541214440516
2003;"DHS 2003";"Cabo Delgado";"Improved";1161113112;21,869857477208
2003;"DHS 2003";"Cabo Delgado";"Surface water";386058597;7,27151076581839
2003;"DHS 2003";"Cabo Delgado";"Unimproved";3762022067;70,8586317569736
2003;"DHS 2003";"Gaza";"Improved";588221781;19,925231700549
2003;"DHS 2003";"Gaza";"Surface water";437848618;14,8315404924035
2003;"DHS 2003";"Gaza";"Unimproved";1926074850;65,2432278070475
2003;"DHS 2003";"Inhambane";"Improved";1182436416;23,7757342504913
2003;"DHS 2003";"Inhambane";"Surface water";356506130;7,16841505459107
2003;"DHS 2003";"Inhambane";"Unimproved";3434348304;69,0558506949176
2003;"DHS 2003";"Manica";"Improved";1499289514;35,8276591714656
2003;"DHS 2003";"Manica";"Surface water";862675233;20,6148538590984
2003;"DHS 2003";"Manica";"Unimproved";1822761659;43,5574869694361
2003;"DHS 2003";"Maputo Cidade";"Improved";4037052556;98,8661048096055
2003;"DHS 2003";"Maputo Cidade";"Unimproved";46300949;1,13389519039449
2003;"DHS 2003";"Maputo Provincia";"Improved";3057582273;71,1693739435298
2003;"DHS 2003";"Maputo Provincia";"Surface water";271326331;6,3154883131627
2003;"DHS 2003";"Maputo Provincia";"Unimproved";967296496;22,5151377433075
2003;"DHS 2003";"Nampula";"Improved";3072926424;25,9558382939363
2003;"DHS 2003";"Nampula";"Surface water";1622957851;13,7085063961917
2003;"DHS 2003";"Nampula";"Unimproved";7143172469;60,335655309872
2003;"DHS 2003";"Niassa";"Improved";456404831;16,1481149703004
2003;"DHS 2003";"Niassa";"Surface water";697643859;24,6834224317316
2003;"DHS 2003";"Niassa";"Unimproved";1672317309;59,168462597968
2003;"DHS 2003";"Sofala";"Improved";1394021438;32,4051030291667
2003;"DHS 2003";"Sofala";"Surface water";780603135;18,1457216689989
2003;"DHS 2003";"Sofala";"Unimproved";2127233183;49,4491753018344
2003;"DHS 2003";"Tete";"Improved";631921774;12,2967132256488
2003;"DHS 2003";"Tete";"Surface water";1474480111;28,692252471569
2003;"DHS 2003";"Tete";"Unimproved";3032546730;59,0110343027822
2003;"DHS 2003";"Zambezia";"Improved";1457278526;14,8230595163489
2003;"DHS 2003";"Zambezia";"Surface water";2061575410;20,9698108183552
2003;"DHS 2003";"Zambezia";"Unimproved";6312304904;64,2071296652959
2003;"IOF 2002-2003";"Cabo Delgado";"Improved";732664,100265503;47,5378310383597
2003;"IOF 2002-2003";"Cabo Delgado";"Surface water";157674,355865479;10,2304683490007
2003;"IOF 2002-2003";"Cabo Delgado";"Unimproved";650884,784942627;42,2317006126396
2003;"IOF 2002-2003";"Gaza";"Improved";798697,718154907;62,2535728787483
2003;"IOF 2002-2003";"Gaza";"Surface water";152165,829528809;11,860390161262
2003;"IOF 2002-2003";"Gaza";"Unimproved";332111,35836792;25,8860369599897
2003;"IOF 2002-2003";"Inhambane";"Improved";451350,550689697;34,3891784648994
2003;"IOF 2002-2003";"Inhambane";"Surface water";110050,311187744;8,3849233943993
2003;"IOF 2002-2003";"Inhambane";"Unimproved";751077,571273804;57,2258981407013
2003;"IOF 2002-2003";"Manica";"Improved";597633,101966858;48,7779876685245
2003;"IOF 2002-2003";"Manica";"Surface water";287810,56199646;23,4907002268308
2003;"IOF 2002-2003";"Manica";"Unimproved";339766,990539551;27,7313121046447
2003;"IOF 2002-2003";"Maputo Cidade";"Improved";708115,21011734;67,3581851564716
2003;"IOF 2002-2003";"Maputo Cidade";"Unimproved";343153,033634186;32,6418148435284
2003;"IOF 2002-2003";"Maputo Provincia";"Improved";589924,958545685;57,7417732112909
2003;"IOF 2002-2003";"Maputo Provincia";"Surface water";66599,2909088135;6,51872936715507
2003;"IOF 2002-2003";"Maputo Provincia";"Unimproved";365136,371162415;35,739497421554
2003;"IOF 2002-2003";"Nampula";"Improved";1458598,09957886;42,3482726520311
2003;"IOF 2002-2003";"Nampula";"Surface water";513435,563476562;14,9068542168213
2003;"IOF 2002-2003";"Nampula";"Unimproved";1472258,17752075;42,7448731311476
2003;"IOF 2002-2003";"Niassa";"Improved";308511,037742615;34,2246916625139
2003;"IOF 2002-2003";"Niassa";"Surface water";149219,738368988;16,5537011998264
2003;"IOF 2002-2003";"Niassa";"Unimproved";443697,469860077;49,2216071376597
2003;"IOF 2002-2003";"Sofala";"Improved";726067,581428528;47,3789953307983
2003;"IOF 2002-2003";"Sofala";"Surface water";242529,797180176;15,826099969332
2003;"IOF 2002-2003";"Sofala";"Unimproved";563869,860004425;36,7949046998697
2003;"IOF 2002-2003";"Tete";"Improved";585431,504852295;41,69713078126
2003;"IOF 2002-2003";"Tete";"Surface water";373062,538238525;26,5712338977133
2003;"IOF 2002-2003";"Tete";"Unimproved";445515,043106079;31,7316353210267
2003;"IOF 2002-2003";"Zambezia";"Improved";592950,167999268;16,9622108478476
2003;"IOF 2002-2003";"Zambezia";"Surface water";607140,031677246;17,3681327492112
2003;"IOF 2002-2003";"Zambezia";"Unimproved";2295622,55450439;65,6696564029412
2008;"MICS 2008";"Cabo Delgado";"Improved";2357,77008068562;36,4241583059995
2008;"MICS 2008";"Cabo Delgado";"Surface water";1050,23174500465;16,2245706871095
2008;"MICS 2008";"Cabo Delgado";"Unimproved";3065,09237974882;47,351271006891
2008;"MICS 2008";"Gaza";"Improved";2936,63048641384;69,0125214038546
2008;"MICS 2008";"Gaza";"Surface water";502,315734654665;11,8047114029936
