"year";"survey";"prov";"wat4";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"Cabo Delgado";"Improved";368164,818778992;30,1
2001;"QUIBB 2000-2001";"Cabo Delgado";"Surface water";287818,170822144;23,6
2001;"QUIBB 2000-2001";"Cabo Delgado";"Unimproved";566071,167263031;46,3
2001;"QUIBB 2000-2001";"Gaza";"Improved";650034,601182938;50,6
2001;"QUIBB 2000-2001";"Gaza";"Surface water";111413,84803772;8,7
2001;"QUIBB 2000-2001";"Gaza";"Unimproved";522043,239221573;40,7
2001;"QUIBB 2000-2001";"Inhambane";"Improved";147295,731559753;12,1
2001;"QUIBB 2000-2001";"Inhambane";"Surface water";121365,863838196;9,9
2001;"QUIBB 2000-2001";"Inhambane";"Unimproved";953416,159610748;78
2001;"QUIBB 2000-2001";"Manica";"Improved";207285,270875931;30,2
2001;"QUIBB 2000-2001";"Manica";"Surface water";175962,591781616;25,6
2001;"QUIBB 2000-2001";"Manica";"Unimproved";303383,189349174;44,2
2001;"QUIBB 2000-2001";"Maputo Cidade";"Improved";812216,898807526;93,2
2001;"QUIBB 2000-2001";"Maputo Cidade";"Unimproved";59356,0776748657;6,8
2001;"QUIBB 2000-2001";"Maputo Provincia";"Improved";889210,601978302;72,7
2001;"QUIBB 2000-2001";"Maputo Provincia";"Surface water";91695,6446762085;7,5
2001;"QUIBB 2000-2001";"Maputo Provincia";"Unimproved";242502,451560974;19,8
2001;"QUIBB 2000-2001";"Nampula";"Improved";777941,957427979;26,7
2001;"QUIBB 2000-2001";"Nampula";"Surface water";645739,857208252;22,2
2001;"QUIBB 2000-2001";"Nampula";"Unimproved";1491451,61365509;51,2
2001;"QUIBB 2000-2001";"Niassa";"Improved";51641,8358078003;7,8
2001;"QUIBB 2000-2001";"Niassa";"Surface water";95361,6827850342;14,4
2001;"QUIBB 2000-2001";"Niassa";"Unimproved";514681,00611496;77,8
2001;"QUIBB 2000-2001";"Sofala";"Improved";552161,837364197;38,3
2001;"QUIBB 2000-2001";"Sofala";"Surface water";344714,250778198;23,9
2001;"QUIBB 2000-2001";"Sofala";"Unimproved";545725,636802673;37,8
2001;"QUIBB 2000-2001";"Tete";"Improved";169624,574440002;15,8
2001;"QUIBB 2000-2001";"Tete";"Surface water";428592,328281403;40
2001;"QUIBB 2000-2001";"Tete";"Unimproved";472621,102954865;44,1
2001;"QUIBB 2000-2001";"Zambezia";"Improved";153689,077209473;6,9
2001;"QUIBB 2000-2001";"Zambezia";"Surface water";79095,0902404785;3,6
2001;"QUIBB 2000-2001";"Zambezia";"Unimproved";1992944,29907227;89,5
2003;"DHS 2003";"Cabo Delgado";"Improved";1161113112;21,9
2003;"DHS 2003";"Cabo Delgado";"Surface water";386058597;7,3
2003;"DHS 2003";"Cabo Delgado";"Unimproved";3762022067;70,9
2003;"DHS 2003";"Gaza";"Improved";588221781;19,9
2003;"DHS 2003";"Gaza";"Surface water";437848618;14,8
2003;"DHS 2003";"Gaza";"Unimproved";1926074850;65,2
2003;"DHS 2003";"Inhambane";"Improved";1182436416;23,8
2003;"DHS 2003";"Inhambane";"Surface water";356506130;7,2
2003;"DHS 2003";"Inhambane";"Unimproved";3434348304;69,1
2003;"DHS 2003";"Manica";"Improved";1499289514;35,8
2003;"DHS 2003";"Manica";"Surface water";862675233;20,6
2003;"DHS 2003";"Manica";"Unimproved";1822761659;43,6
2003;"DHS 2003";"Maputo Cidade";"Improved";4037052556;98,9
2003;"DHS 2003";"Maputo Cidade";"Unimproved";46300949;1,1
2003;"DHS 2003";"Maputo Provincia";"Improved";3057582273;71,2
2003;"DHS 2003";"Maputo Provincia";"Surface water";271326331;6,3
2003;"DHS 2003";"Maputo Provincia";"Unimproved";967296496;22,5
2003;"DHS 2003";"Nampula";"Improved";3072926424;26
2003;"DHS 2003";"Nampula";"Surface water";1622957851;13,7
2003;"DHS 2003";"Nampula";"Unimproved";7143172469;60,3
2003;"DHS 2003";"Niassa";"Improved";456404831;16,1
2003;"DHS 2003";"Niassa";"Surface water";697643859;24,7
2003;"DHS 2003";"Niassa";"Unimproved";1672317309;59,2
2003;"DHS 2003";"Sofala";"Improved";1394021438;32,4
2003;"DHS 2003";"Sofala";"Surface water";780603135;18,1
2003;"DHS 2003";"Sofala";"Unimproved";2127233183;49,4
2003;"DHS 2003";"Tete";"Improved";631921774;12,3
2003;"DHS 2003";"Tete";"Surface water";1474480111;28,7
2003;"DHS 2003";"Tete";"Unimproved";3032546730;59
2003;"DHS 2003";"Zambezia";"Improved";1457278526;14,8
2003;"DHS 2003";"Zambezia";"Surface water";2061575410;21
2003;"DHS 2003";"Zambezia";"Unimproved";6312304904;64,2
2003;"IOF 2002-2003";"Cabo Delgado";"Improved";732664,100265503;47,5
2003;"IOF 2002-2003";"Cabo Delgado";"Surface water";157674,355865479;10,2
2003;"IOF 2002-2003";"Cabo Delgado";"Unimproved";650884,784942627;42,2
2003;"IOF 2002-2003";"Gaza";"Improved";798697,718154907;62,3
2003;"IOF 2002-2003";"Gaza";"Surface water";152165,829528809;11,9
2003;"IOF 2002-2003";"Gaza";"Unimproved";332111,35836792;25,9
2003;"IOF 2002-2003";"Inhambane";"Improved";451350,550689697;34,4
2003;"IOF 2002-2003";"Inhambane";"Surface water";110050,311187744;8,4
2003;"IOF 2002-2003";"Inhambane";"Unimproved";751077,571273804;57,2
2003;"IOF 2002-2003";"Manica";"Improved";597633,101966858;48,8
2003;"IOF 2002-2003";"Manica";"Surface water";287810,56199646;23,5
2003;"IOF 2002-2003";"Manica";"Unimproved";339766,990539551;27,7
2003;"IOF 2002-2003";"Maputo Cidade";"Improved";708115,21011734;67,4
2003;"IOF 2002-2003";"Maputo Cidade";"Unimproved";343153,033634186;32,6
2003;"IOF 2002-2003";"Maputo Provincia";"Improved";589924,958545685;57,7
2003;"IOF 2002-2003";"Maputo Provincia";"Surface water";66599,2909088135;6,5
2003;"IOF 2002-2003";"Maputo Provincia";"Unimproved";365136,371162415;35,7
2003;"IOF 2002-2003";"Nampula";"Improved";1458598,09957886;42,3
2003;"IOF 2002-2003";"Nampula";"Surface water";513435,563476562;14,9
2003;"IOF 2002-2003";"Nampula";"Unimproved";1472258,17752075;42,7
2003;"IOF 2002-2003";"Niassa";"Improved";308511,037742615;34,2
2003;"IOF 2002-2003";"Niassa";"Surface water";149219,738368988;16,6
2003;"IOF 2002-2003";"Niassa";"Unimproved";443697,469860077;49,2
2003;"IOF 2002-2003";"Sofala";"Improved";726067,581428528;47,4
2003;"IOF 2002-2003";"Sofala";"Surface water";242529,797180176;15,8
2003;"IOF 2002-2003";"Sofala";"Unimproved";563869,860004425;36,8
2003;"IOF 2002-2003";"Tete";"Improved";585431,504852295;41,7
2003;"IOF 2002-2003";"Tete";"Surface water";373062,538238525;26,6
2003;"IOF 2002-2003";"Tete";"Unimproved";445515,043106079;31,7
2003;"IOF 2002-2003";"Zambezia";"Improved";592950,167999268;17
2003;"IOF 2002-2003";"Zambezia";"Surface water";607140,031677246;17,4
2003;"IOF 2002-2003";"Zambezia";"Unimproved";2295622,55450439;65,7
2008;"MICS 2008";"Cabo Delgado";"Improved";1944,6752397418;30
2008;"MICS 2008";"Cabo Delgado";"Surface water";1050,23174500465;16,2
2008;"MICS 2008";"Cabo Delgado";"Unimproved";3478,18722069263;53,7
2008;"MICS 2008";"Gaza";"Improved";2594,09686407447;61
2008;"MICS 2008";"Gaza";"Surface water";502,315734654665;11,8
2008;"MICS 2008";"Gaza";"Unimproved";1158,80142138898;27,2
2008;"MICS 2008";"Inhambane";"Improved";1576,67266878486;37,3
2008;"MICS 2008";"Inhambane";"Surface water";191,043829977512;4,5
2008;"MICS 2008";"Inhambane";"Unimproved";2455,75019738078;58,1
2008;"MICS 2008";"Manica";"Improved";950,022475067526;32
2008;"MICS 2008";"Manica";"Surface water";753,809977922589;25,4
2008;"MICS 2008";"Manica";"Unimproved";1260,76857120544;42,5
2008;"MICS 2008";"Maputo Cidade";"Improved";3426,62672817707;94,4
2008;"MICS 2008";"Maputo Cidade";"Unimproved";204,180721819401;5,6
2008;"MICS 2008";"Maputo Provincia";"Improved";2906,41272827983;67,7
2008;"MICS 2008";"Maputo Provincia";"Surface water";409,017444610596;9,5
2008;"MICS 2008";"Maputo Provincia";"Unimproved";978,743155777454;22,8
2008;"MICS 2008";"Nampula";"Improved";4963,5435959883;43,1
2008;"MICS 2008";"Nampula";"Surface water";1447,61349153519;12,6
2008;"MICS 2008";"Nampula";"Unimproved";5109,29126149975;44,3
2008;"MICS 2008";"Niassa";"Improved";1657,66309465468;44,1
2008;"MICS 2008";"Niassa";"Surface water";892,774706318974;23,7
2008;"MICS 2008";"Niassa";"Unimproved";1209,57326215506;32,2
2008;"MICS 2008";"Sofala";"Improved";3234,5802230984;48
2008;"MICS 2008";"Sofala";"Surface water";810,416717201471;12
2008;"MICS 2008";"Sofala";"Unimproved";2691,63700097799;40
2008;"MICS 2008";"Tete";"Improved";1928,43975220248;34,3
2008;"MICS 2008";"Tete";"Surface water";1561,84882359207;27,7
