"year";"survey";"wat4";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"Improved";4779267,20543289;32,2
2001;"QUIBB 2000-2001";"Surface water";2381759,32844925;16,1
2001;"QUIBB 2000-2001";"Unimproved";7664195,94328022;51,7
2003;"DHS 2003";"Improved";18538248645;31
2003;"DHS 2003";"Surface water";8951675275;15
2003;"DHS 2003";"Unimproved";32246378920;54
2003;"IOF 2002-2003";"Improved";7549944,03134155;41,5
2003;"IOF 2002-2003";"Surface water";2659688,0184288;14,6
2003;"IOF 2002-2003";"Unimproved";8003093,21491623;43,9
2008;"MICS 2008";"Improved";27723,7953224629;43,2
2008;"MICS 2008";"Surface water";10269,8052562568;16
2008;"MICS 2008";"Unimproved";26203,7978796642;40,8
2009;"AIS 2009";"Improved";11698520660;45,1
2009;"AIS 2009";"Surface water";2609878160;10,1
2009;"AIS 2009";"Unimproved";11644397535;44,9
2009;"IOF 2008-2009";"Improved";9134849,12273502;42,9
2009;"IOF 2008-2009";"Surface water";3411490,51866531;16
2009;"IOF 2008-2009";"Unimproved";8742586,34969044;41,1
2011;"DHS 2011";"Improved";28007371054;46,2
2011;"DHS 2011";"Surface water";9398668333;15,5
2011;"DHS 2011";"Unimproved";23181268918;38,3
2015;"AIS 2015";"Improved";17106373192;53,5
2015;"AIS 2015";"Surface water";4689750900;14,7
2015;"AIS 2015";"Unimproved";10205113965;31,9
2015;"IOF 2014-2015";"Improved";13469637,2218933;53,4
2015;"IOF 2014-2015";"Surface water";3493186,19987488;13,8
2015;"IOF 2014-2015";"Unimproved";8282846,21202087;32,8
