"year";"survey";"prov";"ru";"wat4";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"Cabo Delgado";"rural";"Improved";248522,274925232;23,6
2001;"QUIBB 2000-2001";"Cabo Delgado";"rural";"Surface water";286965,965393066;27,2
2001;"QUIBB 2000-2001";"Cabo Delgado";"rural";"Unimproved";519679,04788208;49,3
2001;"QUIBB 2000-2001";"Cabo Delgado";"urbano";"Improved";119642,54385376;71,7
2001;"QUIBB 2000-2001";"Cabo Delgado";"urbano";"Surface water";852,205429077148;0,5
2001;"QUIBB 2000-2001";"Cabo Delgado";"urbano";"Unimproved";46392,1193809509;27,8
2001;"QUIBB 2000-2001";"Gaza";"rural";"Improved";474417,638420105;47,2
2001;"QUIBB 2000-2001";"Gaza";"rural";"Surface water";95962,7041320801;9,6
2001;"QUIBB 2000-2001";"Gaza";"rural";"Unimproved";433947,811546326;43,2
2001;"QUIBB 2000-2001";"Gaza";"urbano";"Improved";175616,962762833;62,9
2001;"QUIBB 2000-2001";"Gaza";"urbano";"Surface water";15451,1439056396;5,5
2001;"QUIBB 2000-2001";"Gaza";"urbano";"Unimproved";88095,4276752472;31,6
2001;"QUIBB 2000-2001";"Inhambane";"rural";"Improved";56501,9559707642;6
2001;"QUIBB 2000-2001";"Inhambane";"rural";"Surface water";117112,911567688;12,4
2001;"QUIBB 2000-2001";"Inhambane";"rural";"Unimproved";767460,95658493;81,6
2001;"QUIBB 2000-2001";"Inhambane";"urbano";"Improved";90793,7755889893;32,3
2001;"QUIBB 2000-2001";"Inhambane";"urbano";"Surface water";4252,95227050781;1,5
2001;"QUIBB 2000-2001";"Inhambane";"urbano";"Unimproved";185955,203025818;66,2
2001;"QUIBB 2000-2001";"Manica";"rural";"Improved";135656,510093689;30,6
2001;"QUIBB 2000-2001";"Manica";"rural";"Surface water";163755,063766479;37
2001;"QUIBB 2000-2001";"Manica";"rural";"Unimproved";143751,993461609;32,4
2001;"QUIBB 2000-2001";"Manica";"urbano";"Improved";71628,7607822418;29,4
2001;"QUIBB 2000-2001";"Manica";"urbano";"Surface water";12207,5280151367;5
2001;"QUIBB 2000-2001";"Manica";"urbano";"Unimproved";159631,195887566;65,6
2001;"QUIBB 2000-2001";"Maputo Cidade";"urbano";"Improved";812216,898807526;93,2
2001;"QUIBB 2000-2001";"Maputo Cidade";"urbano";"Unimproved";59356,0776748657;6,8
2001;"QUIBB 2000-2001";"Maputo Provincia";"rural";"Improved";202710,73210144;50,9
2001;"QUIBB 2000-2001";"Maputo Provincia";"rural";"Surface water";63662,9021835327;16
2001;"QUIBB 2000-2001";"Maputo Provincia";"rural";"Unimproved";131750,641555786;33,1
2001;"QUIBB 2000-2001";"Maputo Provincia";"urbano";"Improved";686499,869876862;83,2
2001;"QUIBB 2000-2001";"Maputo Provincia";"urbano";"Surface water";28032,7424926758;3,4
2001;"QUIBB 2000-2001";"Maputo Provincia";"urbano";"Unimproved";110751,810005188;13,4
2001;"QUIBB 2000-2001";"Nampula";"rural";"Improved";245796,310577393;11,2
2001;"QUIBB 2000-2001";"Nampula";"rural";"Surface water";614259,246795654;27,9
2001;"QUIBB 2000-2001";"Nampula";"rural";"Unimproved";1338806,09498596;60,9
2001;"QUIBB 2000-2001";"Nampula";"urbano";"Improved";532145,646850586;74,3
2001;"QUIBB 2000-2001";"Nampula";"urbano";"Surface water";31480,6104125977;4,4
2001;"QUIBB 2000-2001";"Nampula";"urbano";"Unimproved";152645,518669128;21,3
2001;"QUIBB 2000-2001";"Niassa";"rural";"Improved";6994,89822387695;1,4
2001;"QUIBB 2000-2001";"Niassa";"rural";"Surface water";91631,7364959717;18,9
