"year";"survey";"ru";"wat4";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"rural";"Improved";1603542,3639679;15,9
2001;"QUIBB 2000-2001";"rural";"Surface water";2225599,49548721;22
2001;"QUIBB 2000-2001";"rural";"Unimproved";6285709,45101929;62,1
2001;"QUIBB 2000-2001";"urbano";"Improved";3175724,841465;67,4
2001;"QUIBB 2000-2001";"urbano";"Surface water";156159,832962036;3,3
2001;"QUIBB 2000-2001";"urbano";"Unimproved";1378486,49226093;29,3
2003;"DHS 2003";"rural";"Improved";3814220707;9,6
2003;"DHS 2003";"rural";"Surface water";8306906249;21
2003;"DHS 2003";"rural";"Unimproved";27490609602;69,4
2003;"DHS 2003";"urbano";"Improved";14724027938;73,2
2003;"DHS 2003";"urbano";"Surface water";644769026;3,2
2003;"DHS 2003";"urbano";"Unimproved";4755769318;23,6
2003;"IOF 2002-2003";"rural";"Improved";3475012,94289398;28,1
2003;"IOF 2002-2003";"rural";"Surface water";2547961,6714325;20,6
2003;"IOF 2002-2003";"rural";"Unimproved";6332790,08093643;51,3
2003;"IOF 2002-2003";"urbano";"Improved";4074931,08844757;69,6
2003;"IOF 2002-2003";"urbano";"Surface water";111726,346996307;1,9
2003;"IOF 2002-2003";"urbano";"Unimproved";1670303,1339798;28,5
2008;"MICS 2008";"rural";"Improved";13016,1647525281;30,1
2008;"MICS 2008";"rural";"Surface water";9677,73108701222;22,4
2008;"MICS 2008";"rural";"Unimproved";20553,9995137807;47,5
2008;"MICS 2008";"urbano";"Improved";14707,6305699348;70,2
2008;"MICS 2008";"urbano";"Surface water";592,074169244617;2,8
2008;"MICS 2008";"urbano";"Unimproved";5649,79836588353;27
2009;"AIS 2009";"rural";"Improved";6163103386;33,9
2009;"AIS 2009";"rural";"Surface water";2311294699;12,7
2009;"AIS 2009";"rural";"Unimproved";9727129326;53,4
2009;"AIS 2009";"urbano";"Improved";5535417274;71,4
2009;"AIS 2009";"urbano";"Surface water";298583461;3,9
2009;"AIS 2009";"urbano";"Unimproved";1917268209;24,7
2009;"IOF 2008-2009";"rural";"Improved";4816625,04468536;32,4
2009;"IOF 2008-2009";"rural";"Surface water";3088837,58914566;20,8
2009;"IOF 2008-2009";"rural";"Unimproved";6976533,33666325;46,9
2009;"IOF 2008-2009";"urbano";"Improved";4318224,07804966;67,4
2009;"IOF 2008-2009";"urbano";"Surface water";322652,929519653;5
2009;"IOF 2008-2009";"urbano";"Unimproved";1766053,01302719;27,6
2011;"DHS 2011";"rural";"Improved";13059463947;31,4
2011;"DHS 2011";"rural";"Surface water";8810883466;21,2
2011;"DHS 2011";"rural";"Unimproved";19676116717;47,4
2011;"DHS 2011";"urbano";"Improved";14947907107;78,5
2011;"DHS 2011";"urbano";"Surface water";587784867;3,1
2011;"DHS 2011";"urbano";"Unimproved";3505152201;18,4
2015;"AIS 2015";"rural";"Improved";8570305748;39,4
2015;"AIS 2015";"rural";"Surface water";4533351366;20,8
2015;"AIS 2015";"rural";"Unimproved";8671928050;39,8
2015;"AIS 2015";"urbano";"Improved";8536067444;83,5
2015;"AIS 2015";"urbano";"Surface water";156399534;1,5
2015;"AIS 2015";"urbano";"Unimproved";1533185915;15
2015;"IOF 2014-2015";"rural";"Improved";6775774,209198;39,2
2015;"IOF 2014-2015";"rural";"Surface water";3259365,71722412;18,9
2015;"IOF 2014-2015";"rural";"Unimproved";7234386,40557861;41,9
2015;"IOF 2014-2015";"urbano";"Improved";6693863,01269531;83,9
2015;"IOF 2014-2015";"urbano";"Surface water";233820,482650757;2,9
2015;"IOF 2014-2015";"urbano";"Unimproved";1048459,80644226;13,1
