"Provincia_first";"D10_FONTE_AGUA_PARA_BEBER";"count";"perc"
"                                                                                                                                                                                                                                                ";".gua Canalizada  dentro de casa";888;2,28960396039604
"                                                                                                                                                                                                                                                ";".gua Canalizada fora de casa/quintal";2255;5,81425330033003
"                                                                                                                                                                                                                                                ";".gua Canalizada na casa do vizinho";1649;4,25175330033003
"                                                                                                                                                                                                                                                ";".gua da fontan.rio/ torneira p.blica";2999;7,7325701320132
"                                                                                                                                                                                                                                                ";".gua do furo/po.o protegido com bomba manual";4797;12,3685024752475
"                                                                                                                                                                                                                                                ";".gua do po.o protegido sem bomba manual";2030;5,23411716171617
"                                                                                                                                                                                                                                                ";".gua do po.o n.o protegido";13038;33,6169554455446
"                                                                                                                                                                                                                                                ";".gua de nascentes";506;1,30466171617162
"                                                                                                                                                                                                                                                ";".gua de superf.cie (rio / lago / lagoa)";1547;3,98875825082508
"                                                                                                                                                                                                                                                ";".gua da chuva";2225;5,73690181518152
"                                                                                                                                                                                                                                                ";".gua de tanques cami.es / carregada em tambores";228;0,587871287128713
"                                                                                                                                                                                                                                                ";".gua mineral / .gua engarrafada";10;0,0257838283828383
"                                                                                                                                                                                                                                                ";"Outra";94;0,24236798679868
"                                                                                                                                                                                                                                                ";NA;6518;16,805899339934
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua Canalizada  dentro de casa";4847;2,18409087836772
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua Canalizada fora de casa/quintal";11150;5,02426517305552
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua Canalizada na casa do vizinho";12594;5,67494130847186
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua da fontan.rio/ torneira p.blica";34836;15,6973364635482
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua do furo/po.o protegido com bomba manual";32272;14,5419807771164
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua do po.o protegido sem bomba manual";14818;6,67709070263109
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua do po.o n.o protegido";82927;37,3674652920157
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua de nascentes";3180;1,43292943949027
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua de superf.cie (rio / lago / lagoa)";15234;6,86454310729397
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua da chuva";8609;3,87927344168923
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua de tanques cami.es / carregada em tambores";300;0,135182022593422
"Cabo Delgado                                                                                                                                                                                                                                    ";".gua mineral / .gua engarrafada";498;0,224402157505081
"Cabo Delgado                                                                                                                                                                                                                                    ";"Outra";658;0,296499236221572
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua Canalizada  dentro de casa";25567;24,0510615881019
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua Canalizada fora de casa/quintal";66101;62,1816881931836
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua Canalizada na casa do vizinho";6950;6,53791520465086
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua da fontan.rio/ torneira p.blica";2904;2,731813777598
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua do furo/po.o protegido com bomba manual";1969;1,85225252344713
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua do po.o protegido sem bomba manual";428;0,40262269173965
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua do po.o n.o protegido";513;0,482582805753365
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua de nascentes";11;0,0103477794605985
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua de superf.cie (rio / lago / lagoa)";55;0,0517388973029924
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua da chuva";6;0,00564424334214462
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua de tanques cami.es / carregada em tambores";85;0,0799601140137155
"Cidade de Maputo                                                                                                                                                                                                                                ";".gua mineral / .gua engarrafada";1425;1,34050779375935
"Cidade de Maputo                                                                                                                                                                                                                                ";"Outra";289;0,271864387646633
"Gaza                                                                                                                                                                                                                                            ";".gua Canalizada  dentro de casa";8654;6,39072480892073
"Gaza                                                                                                                                                                                                                                            ";".gua Canalizada fora de casa/quintal";38783;28,6401063397703
"Gaza                                                                                                                                                                                                                                            ";".gua Canalizada na casa do vizinho";9754;7,2030424989846
"Gaza                                                                                                                                                                                                                                            ";".gua da fontan.rio/ torneira p.blica";23554;17,3939371561496
"Gaza                                                                                                                                                                                                                                            ";".gua do furo/po.o protegido com bomba manual";20143;14,8750138463243
"Gaza                                                                                                                                                                                                                                            ";".gua do po.o protegido sem bomba manual";6325;4,6708267178673
"Gaza                                                                                                                                                                                                                                            ";".gua do po.o n.o protegido";12245;9,04257283166562
"Gaza                                                                                                                                                                                                                                            ";".gua de nascentes";642;0,474098142746372
"Gaza                                                                                                                                                                                                                                            ";".gua de superf.cie (rio / lago / lagoa)";12033;8,88601705867149
"Gaza                                                                                                                                                                                                                                            ";".gua da chuva";1911;1,41121736882915
"Gaza                                                                                                                                                                                                                                            ";".gua de tanques cami.es / carregada em tambores";845;0,624007680094524
"Gaza                                                                                                                                                                                                                                            ";".gua mineral / .gua engarrafada";26;0,0192002363106007
"Gaza                                                                                                                                                                                                                                            ";"Outra";500;0,369235313665399
"Inhambane                                                                                                                                                                                                                                       ";".gua Canalizada  dentro de casa";4756;3,35487147653847
"Inhambane                                                                                                                                                                                                                                       ";".gua Canalizada fora de casa/quintal";20003;14,1100702576112
"Inhambane                                                                                                                                                                                                                                       ";".gua Canalizada na casa do vizinho";7805;5,50562907367174
"Inhambane                                                                                                                                                                                                                                       ";".gua da fontan.rio/ torneira p.blica";11479;8,09726023532067
"Inhambane                                                                                                                                                                                                                                       ";".gua do furo/po.o protegido com bomba manual";25021;17,6497559323947
"Inhambane                                                                                                                                                                                                                                       ";".gua do po.o protegido sem bomba manual";13460;9,49465308540955
"Inhambane                                                                                                                                                                                                                                       ";".gua do po.o n.o protegido";42801;30,1917270957366
"Inhambane                                                                                                                                                                                                                                       ";".gua de nascentes";2144;1,51237267571457
"Inhambane                                                                                                                                                                                                                                       ";".gua de superf.cie (rio / lago / lagoa)";6637;4,68172455630484
"Inhambane                                                                                                                                                                                                                                       ";".gua da chuva";6602;4,65703563669197
"Inhambane                                                                                                                                                                                                                                       ";".gua de tanques cami.es / carregada em tambores";691;0,487429812928529
"Inhambane                                                                                                                                                                                                                                       ";".gua mineral / .gua engarrafada";75;0,0529048277418809
"Inhambane                                                                                                                                                                                                                                       ";"Outra";290;0,204565333935273
"Manica                                                                                                                                                                                                                                          ";".gua Canalizada  dentro de casa";6163;3,3421365162172
"Manica                                                                                                                                                                                                                                          ";".gua Canalizada fora de casa/quintal";24705;13,3972874627853
"Manica                                                                                                                                                                                                                                          ";".gua Canalizada na casa do vizinho";8297;4,49938450025217
"Manica                                                                                                                                                                                                                                          ";".gua da fontan.rio/ torneira p.blica";8993;4,87681870685401
"Manica                                                                                                                                                                                                                                          ";".gua do furo/po.o protegido com bomba manual";35880;19,4573840989572
"Manica                                                                                                                                                                                                                                          ";".gua do po.o protegido sem bomba manual";19090;10,3523261552144
"Manica                                                                                                                                                                                                                                          ";".gua do po.o n.o protegido";38763;21,0208076875105
"Manica                                                                                                                                                                                                                                          ";".gua de nascentes";12860;6,9738561737065
"Manica                                                                                                                                                                                                                                          ";".gua de superf.cie (rio / lago / lagoa)";28091;15,2334831862822
"Manica                                                                                                                                                                                                                                          ";".gua da chuva";337;0,182751907506928
"Manica                                                                                                                                                                                                                                          ";".gua de tanques cami.es / carregada em tambores";487;0,264095486515946
"Manica                                                                                                                                                                                                                                          ";".gua mineral / .gua engarrafada";344;0,186547941194015
"Manica                                                                                                                                                                                                                                          ";"Outra";393;0,213120177003628
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua Canalizada  dentro de casa";70;5,28700906344411
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua Canalizada fora de casa/quintal";1092;82,4773413897281
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua Canalizada na casa do vizinho";40;3,02114803625378
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua da fontan.rio/ torneira p.blica";102;7,70392749244713
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua do furo/po.o protegido com bomba manual";16;1,20845921450151
"Maputo Cidade                                                                                                                                                                                                                                   ";".gua mineral / .gua engarrafada";4;0,302114803625378
"Maputo Provincia                                                                                                                                                                                                                                ";".gua Canalizada  dentro de casa";32675;17,3219956211267
"Maputo Provincia                                                                                                                                                                                                                                ";".gua Canalizada fora de casa/quintal";94892;50,3050897775045
"Maputo Provincia                                                                                                                                                                                                                                ";".gua Canalizada na casa do vizinho";17278;9,159585014287
"Maputo Provincia                                                                                                                                                                                                                                ";".gua da fontan.rio/ torneira p.blica";9536;5,05531905870129
"Maputo Provincia                                                                                                                                                                                                                                ";".gua do furo/po.o protegido com bomba manual";12843;6,80845875324042
"Maputo Provincia                                                                                                                                                                                                                                ";".gua do po.o protegido sem bomba manual";3696;1,95936023919463
"Maputo Provincia                                                                                                                                                                                                                                ";".gua do po.o n.o protegido";7032;3,72787370184432
"Maputo Provincia                                                                                                                                                                                                                                ";".gua de nascentes";191;0,101254817555783
"Maputo Provincia                                                                                                                                                                                                                                ";".gua de superf.cie (rio / lago / lagoa)";5375;2,84944839980279
"Maputo Provincia                                                                                                                                                                                                                                ";".gua da chuva";101;0,0535431234195501
"Maputo Provincia                                                                                                                                                                                                                                ";".gua de tanques cami.es / carregada em tambores";3355;1,77858593141179
"Maputo Provincia                                                                                                                                                                                                                                ";".gua mineral / .gua engarrafada";911;0,482948370645645
"Maputo Provincia                                                                                                                                                                                                                                ";"Outra";748;0,396537191265579
"Nampula                                                                                                                                                                                                                                         ";".gua Canalizada  dentro de casa";14870;2,82318007408237
"Nampula                                                                                                                                                                                                                                         ";".gua Canalizada fora de casa/quintal";19958;3,78917470871123
"Nampula                                                                                                                                                                                                                                         ";".gua Canalizada na casa do vizinho";45994;8,73230291374207
"Nampula                                                                                                                                                                                                                                         ";".gua da fontan.rio/ torneira p.blica";73220;13,9013614676739
"Nampula                                                                                                                                                                                                                                         ";".gua do furo/po.o protegido com bomba manual";59319;11,2621532491252
"Nampula                                                                                                                                                                                                                                         ";".gua do po.o protegido sem bomba manual";28967;5,49960035009711
"Nampula                                                                                                                                                                                                                                         ";".gua do po.o n.o protegido";219594;41,6915538122424
"Nampula                                                                                                                                                                                                                                         ";".gua de nascentes";10009;1,90028307743715
"Nampula                                                                                                                                                                                                                                         ";".gua de superf.cie (rio / lago / lagoa)";51240;9,72829502326703
"Nampula                                                                                                                                                                                                                                         ";".gua da chuva";556;0,105560734444506
"Nampula                                                                                                                                                                                                                                         ";".gua de tanques cami.es / carregada em tambores";812;0,15416423807363
"Nampula                                                                                                                                                                                                                                         ";".gua mineral / .gua engarrafada";1649;0,313074912048543
"Nampula                                                                                                                                                                                                                                         ";"Outra";523;0,0992954390548137
"Niassa                                                                                                                                                                                                                                          ";".gua Canalizada  dentro de casa";2679;1,60929897278789
"Niassa                                                                                                                                                                                                                                          ";".gua Canalizada fora de casa/quintal";4718;2,83414429026251
"Niassa                                                                                                                                                                                                                                          ";".gua Canalizada na casa do vizinho";5189;3,11707815221962
"Niassa                                                                                                                                                                                                                                          ";".gua da fontan.rio/ torneira p.blica";13008;7,81402054424221
"Niassa                                                                                                                                                                                                                                          ";".gua do furo/po.o protegido com bomba manual";35520;21,3371778698865
"Niassa                                                                                                                                                                                                                                          ";".gua do po.o protegido sem bomba manual";17338;10,415089805971
"Niassa                                                                                                                                                                                                                                          ";".gua do po.o n.o protegido";60170;36,1446506878116
"Niassa                                                                                                                                                                                                                                          ";".gua de nascentes";4003;2,40463747221722
"Niassa                                                                                                                                                                                                                                          ";".gua de superf.cie (rio / lago / lagoa)";22915;13,7652429867243
"Niassa                                                                                                                                                                                                                                          ";".gua da chuva";282;0,169399891872409
"Niassa                                                                                                                                                                                                                                          ";".gua de tanques cami.es / carregada em tambores";29;0,0174205562563825
