"Provincia_first";"D10_FONTE_AGUA_PARA_BEBER";"count";"perc"
"Cabo Delgado";".gua de superf.cie (rio / lago / lagoa)";15234;6,86454310729397
"Cidade de Maputo";".gua de superf.cie (rio / lago / lagoa)";55;0,0517388973029924
"Gaza";".gua de superf.cie (rio / lago / lagoa)";12033;8,88601705867149
"Inhambane";".gua de superf.cie (rio / lago / lagoa)";6637;4,68172455630484
"Manica";".gua de superf.cie (rio / lago / lagoa)";28091;15,2334831862822
"Maputo Provincia";".gua de superf.cie (rio / lago / lagoa)";5375;2,84944839980279
"Nampula";".gua de superf.cie (rio / lago / lagoa)";51240;9,72829502326703
"Niassa";".gua de superf.cie (rio / lago / lagoa)";22915;13,7652429867243
"Sofala";".gua de superf.cie (rio / lago / lagoa)";17472;7,94788747771025
"Tete";".gua de superf.cie (rio / lago / lagoa)";33907;13,348109014609
"Zambezia";".gua de superf.cie (rio / lago / lagoa)";48973;9,81580213260643
