"Provincia_first";"URB_RUR";"D10_FONTE_AGUA_PARA_BEBER";"count";"perc"
"Cabo Delgado";"Rural";".gua de superf.cie (rio / lago / lagoa)";14535;8,61022089792727
"Cabo Delgado";"Urbana";".gua de superf.cie (rio / lago / lagoa)";699;1,31608676005423
"Cidade de Maputo";"Urbana";".gua de superf.cie (rio / lago / lagoa)";55;0,0517388973029924
"Gaza";"Rural";".gua de superf.cie (rio / lago / lagoa)";11435;12,1348147676504
"Gaza";"Urbana";".gua de superf.cie (rio / lago / lagoa)";598;1,45209071924627
"Inhambane";"Rural";".gua de superf.cie (rio / lago / lagoa)";6436;6,34676449125298
"Inhambane";"Urbana";".gua de superf.cie (rio / lago / lagoa)";201;0,498042519450914
"Manica";"Rural";".gua de superf.cie (rio / lago / lagoa)";27722;22,5336313757366
"Manica";"Urbana";".gua de superf.cie (rio / lago / lagoa)";369;0,601192609729871
"Maputo Provincia";"Rural";".gua de superf.cie (rio / lago / lagoa)";4869;7,51470066210856
"Maputo Provincia";"Urbana";".gua de superf.cie (rio / lago / lagoa)";506;0,40859173126615
"Nampula";"Rural";".gua de superf.cie (rio / lago / lagoa)";44566;12,1418354697653
"Nampula";"Urbana";".gua de superf.cie (rio / lago / lagoa)";6674;4,17997569927223
"Niassa";"Rural";".gua de superf.cie (rio / lago / lagoa)";20609;16,2154294032023
"Niassa";"Urbana";".gua de superf.cie (rio / lago / lagoa)";2306;5,85650793650794
"Sofala";"Rural";".gua de superf.cie (rio / lago / lagoa)";17095;13,3247593437001
"Sofala";"Urbana";".gua de superf.cie (rio / lago / lagoa)";377;0,411855315336968
"Tete";"Rural";".gua de superf.cie (rio / lago / lagoa)";32591;15,7700421940928
"Tete";"Urbana";".gua de superf.cie (rio / lago / lagoa)";1316;2,77889224401884
"Zambezia";"Rural";".gua de superf.cie (rio / lago / lagoa)";44103;10,7679649198195
"Zambezia";"Urbana";".gua de superf.cie (rio / lago / lagoa)";4870;5,45084169054441
