"year";"survey";"prov";"wat";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"Cabo Delgado";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";40265,9086303711;3,29493651359076
2001;"QUIBB 2000-2001";"Cabo Delgado";"Compra De Outros, Cisterna";1929,4169921875;0,157883100462458
2001;"QUIBB 2000-2001";"Cabo Delgado";"Outras Fontes";424,618316650391;0,0347462765267274
2001;"QUIBB 2000-2001";"Cabo Delgado";"PoÁO N„O Protegido, ·Gua Da Chuva";477408,687759399;39,0660827163705
2001;"QUIBB 2000-2001";"Cabo Delgado";"PoÁO Protegido";88237,8611869812;7,22045424021163
2001;"QUIBB 2000-2001";"Cabo Delgado";"Rio, Lago, Lagoa";287818,170822144;23,5519980195227
2001;"QUIBB 2000-2001";"Cabo Delgado";"Torneira P˙Blica/Fontan·Rio";325969,493156433;26,6738991333152
2001;"QUIBB 2000-2001";"Gaza";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";66288,4414138794;5,16469580682158
2001;"QUIBB 2000-2001";"Gaza";"Compra De Outros, Cisterna";38354,7234725952;2,9883110126834
2001;"QUIBB 2000-2001";"Gaza";"Outras Fontes";38932,8037414551;3,03335067083354
2001;"QUIBB 2000-2001";"Gaza";"PoÁO N„O Protegido, ·Gua Da Chuva";160216,071304321;12,4828288914574
2001;"QUIBB 2000-2001";"Gaza";"PoÁO Protegido";322894,364175797;25,1574955321832
2001;"QUIBB 2000-2001";"Gaza";"Rio, Lago, Lagoa";111413,84803772;8,68052742693974
2001;"QUIBB 2000-2001";"Gaza";"Torneira P˙Blica/Fontan·Rio";545391,436296463;42,4927906590812
2001;"QUIBB 2000-2001";"Inhambane";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";26364,6295166016;2,15736105239997
2001;"QUIBB 2000-2001";"Inhambane";"Compra De Outros, Cisterna";63257,9285049438;5,17626053216996
2001;"QUIBB 2000-2001";"Inhambane";"Outras Fontes";25567,5198287964;2,09213527731829
2001;"QUIBB 2000-2001";"Inhambane";"PoÁO N„O Protegido, ·Gua Da Chuva";603065,953197479;49,3475927146049
2001;"QUIBB 2000-2001";"Inhambane";"PoÁO Protegido";324782,686584473;26,5762702293981
2001;"QUIBB 2000-2001";"Inhambane";"Rio, Lago, Lagoa";121365,863838196;9,93110817546401
2001;"QUIBB 2000-2001";"Inhambane";"Torneira P˙Blica/Fontan·Rio";57673,173538208;4,7192720186448
