"year";"survey";"wat";"sum_pop_weight";"perc"
2001;"QUIBB 2000-2001";"¡Gua Canalizada Dentro Da Casa Ou No Quintal";941786,970924377;6,35259924345258
2001;"QUIBB 2000-2001";"Compra De Outros, Cisterna";641708,142795563;4,32848912577256
2001;"QUIBB 2000-2001";"Outras Fontes";102974,23802948;0,69458814657323
2001;"QUIBB 2000-2001";"PoÁO N„O Protegido, ·Gua Da Chuva";5532304,90436935;37,3168423805554
2001;"QUIBB 2000-2001";"PoÁO Protegido";2028916,80088139;13,6855740546683
2001;"QUIBB 2000-2001";"Rio, Lago, Lagoa";2381759,32844925;16,0655891142157
2001;"QUIBB 2000-2001";"Torneira P˙Blica/Fontan·Rio";3195772,09171295;21,5563179347622
2003;"DHS 2003";"In Neighbor'S Land";2102638607;3,51986732863563
2003;"DHS 2003";"In Own Land";1469062142;2,45924516944879
2003;"DHS 2003";"Inside Neighbor'S House";4696794587;7,86254649803165
2003;"DHS 2003";"Inside The House";4103443653;6,86926284003685
2003;"DHS 2003";"Other";658771629;1,1027994664559
2003;"DHS 2003";"Protected Public Well";8887146023;14,877295045868
2003;"DHS 2003";"Public Water";5837554176;9,77220533991789
2003;"DHS 2003";"Rainwater";328755480;0,550344538195729
2003;"DHS 2003";"River/Lake";8951675275;14,9853185574215
2003;"DHS 2003";"Unprotected Public Well";22700461268;38,0011152159881
2003;"IOF 2002-2003";"Agua Canalizada Dentro Da Casa Ou No Quintal";1117994,78637695;6,13853649099226
2003;"IOF 2002-2003";"Compra De Outros, Cisterna";742043,784332275;4,07431492842565
2003;"IOF 2002-2003";"Furo/Poco Protegido";3711775,96753311;20,3801238616937
2003;"IOF 2002-2003";"Outras Fontes";693655,788684845;3,80863258300944
2003;"IOF 2002-2003";"Poco Nao Protegido, Agua Da Chuva";7309437,42623138;40,1336830155999
2003;"IOF 2002-2003";"Rio, Lago, Lagoa";2659688,0184288;14,603459832482
2003;"IOF 2002-2003";"Torneira Publica/Fontanio";1978129,49309921;10,8612492877971
2008;"MICS 2008";"<c1>Gua Da Chuva";140,155378829688;0,218261739361377
2008;"MICS 2008";"<c1>Gua Do Rio, Lagoa";10269,8052562568;15,9930041704431
2008;"MICS 2008";"<c1>Gua Engarrafada/Mineral";49,8451079130173;0,0776229927284549
2008;"MICS 2008";"Dentro Da Casa";1326,68302185833;2,06602234141778
2008;"MICS 2008";"Fora Da Casa/Quintal";3624,47952438891;5,64434424050269
2008;"MICS 2008";"Na Casa Do Vizinho";3961,66577062011;6,16943901178924
2008;"MICS 2008";"Outro";136,392812818289;0,212402355233795
2008;"MICS 2008";"Po<e7>O N<e3>O Protegido";23186,8355867732;36,1084897897862
2008;"MICS 2008";"Proveniente De Po<e7>O Ou Furo Protegido Com Bomba Manual";12736,7955679372;19,8348088939659
2008;"MICS 2008";"Sem Bomba Manual";2880,56948007271;4,48586497587056
2008;"MICS 2008";"Sem Info";16,9614380300045;0,026413777319225
2008;"MICS 2008";"Torneira P<fa>Blica/Fontan<e1>Rio";5884,17095091566;9,16332571158163
2009;"AIS 2009";"Bottled Water";46967160;0,180971481290691
2009;"AIS 2009";"Cart With Small Tank";20751203;0,0799574840265802
2009;"AIS 2009";"Other";47293056;0,182227207246161
2009;"AIS 2009";"Piped Into Dwelling";467290060;1,80053838364116
2009;"AIS 2009";"Piped Into Neighbour'S Yard/Plot";1300360257;5,0104822586853
2009;"AIS 2009";"Piped To Yard/Plot";1268218604;4,88663566982318
2009;"AIS 2009";"Protected Spring";46316966;0,178466186712388
2009;"AIS 2009";"Protected Well";1981346613;7,63442438301366
2009;"AIS 2009";"Public Tap/Standpipe";4539125439;17,4899281638508
2009;"AIS 2009";"Rainwater";30832991;0,11880411874792
2009;"AIS 2009";"River/Dam/Lake/Ponds/Stream/Canal/Irirgation Channel";2609878160;10,0562502949598
2009;"AIS 2009";"Tanker Truck";19813511;0,0763444167209472
2009;"AIS 2009";"Tube Well Or Borehole";3958844469;15,2540189305547
2009;"AIS 2009";"Unprotected Spring";1062986868;4,09584714286562
2009;"AIS 2009";"Unprotected Well";8552770998;32,9551038778611
2009;"IOF 2008-2009";"Agua Canalizada Dentro Da Casa";1132851,72636604;5,3213192945484
2009;"IOF 2008-2009";"Agua Canalizada No Quintal";1741226,15867424;8,17902302541203
2009;"IOF 2008-2009";"Agua De Chuva";148083,545974731;0,695589556921298
2009;"IOF 2008-2009";"Agua De Fontanario";1408084,86462688;6,61416581191628
2009;"IOF 2008-2009";"Agua Do Poco Ou Furo Com Bomba Manual";4693951,33006859;22,0487934996484
2009;"IOF 2008-2009";"Agua Do Poco Protegido Sem Bomba";8463880,26708698;39,7571971015778
2009;"IOF 2008-2009";"Agua Do Rio, Lago, Lagoa";3411490,51866531;16,0247187673676
2009;"IOF 2008-2009";"Agua Mineral/Agua Engarrafada";10651,4970245361;0,0500330407884066
2009;"IOF 2008-2009";"Outro";278706,082603455;1,3091599018198
2011;"DHS 2011";"Borehole With Pump";7383449341;12,1864620620399
2011;"DHS 2011";"Bottled Water";105335589;0,17385751561983
2011;"DHS 2011";"Neighbor'S House";3643239591;6,01320588902831
2011;"DHS 2011";"Other";145682913;0,240451205170931
2011;"DHS 2011";"Piped Into Dwelling";1769632553;2,92079744505494
2011;"DHS 2011";"Piped To Yard/Plot";5610034073;9,25942120544251
2011;"DHS 2011";"Protected Well";3897438477;6,4327638676075
2011;"DHS 2011";"Public Tap/Standpipe";8992130470;14,8416074613071
2011;"DHS 2011";"Rainwater";429664428;0,709165731273363
2011;"DHS 2011";"River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel";9398668333;15,5126025498386
2011;"DHS 2011";"Tanker Truck";73885009;0,121947997141676
2011;"DHS 2011";"Unprotected Well";19138147528;31,5877170704753
2015;"AIS 2015";"Borehole With Pump";4574423166;14,2945193490706
2015;"AIS 2015";"Bottled Water";94110299;0,294083306503244
2015;"AIS 2015";"Neighbor'S House";1947335725;6,08518870904758
2015;"AIS 2015";"Other";2330623;0,00728291510424921
2015;"AIS 2015";"Piped Into Dwelling";1201926446;3,7558748316523
2015;"AIS 2015";"Piped To Yard/Plot";4417979707;13,8056524536044
2015;"AIS 2015";"Protected Well";3632683057;11,3516953641904
2015;"AIS 2015";"Public Tap/Standpipe";4731378298;14,7849851608008
2015;"AIS 2015";"Rainwater";87531411;0,273525076886371
2015;"AIS 2015";"River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel";4689750900;14,6549045747752
2015;"AIS 2015";"Tanker Truck";51688140;0,161519188438691
2015;"AIS 2015";"Unprotected Well";6570100285;20,5307690699262
2015;"IOF 2014-2015";"<c1>Gua Canalizada Dentro  Da Casa";503456,847259521;1,99423051383707
2015;"IOF 2014-2015";"<c1>Gua Canalizada Na Casa Do Vizinho";1684691,52406311;6,67319008963146
2015;"IOF 2014-2015";"<c1>Gua Canalizada No Quintal";3549535,21499634;14,0599764889801
2015;"IOF 2014-2015";"<c1>Gua Da Chuva";147912,560806274;0,585892800436185
2015;"IOF 2014-2015";"<c1>Gua Da Cisterna (Ou Tanque M<d3>Vel Ou Cami<c3>O)";65563,9860839844;0,25970388995439
2015;"IOF 2014-2015";"<c1>Gua De Nascentes N<c3>O Protegidas";477141,743988037;1,88999440660281
2015;"IOF 2014-2015";"<c1>Gua De Nascentes Protegidas";90281,3245849609;0,357611130520885
2015;"IOF 2014-2015";"<c1>Gua Do  Furo";2436420,4414978;9,65084498387348
2015;"IOF 2014-2015";"<c1>Gua Do Fontan<c1>Rio";2480073,08865356;9,82375640903662
2015;"IOF 2014-2015";"<c1>Gua Do Po<c7>O Com Bomba Manual";2484912,36943054;9,84292516489525
2015;"IOF 2014-2015";"<c1>Gua Do Po<c7>O N<c3>O Protegido";6360153,85850525;25,1930487515877
2015;"IOF 2014-2015";"<c1>Gua Do Po<c7>O Protegido Sem Bomba";1418027,65097046;5,61691439181536
2015;"IOF 2014-2015";"<c1>Gua Do Rio, Lago, Lagoa";3493186,19987488;13,8367737934729
2015;"IOF 2014-2015";"<c1>Gua Em Garrafa";26789,8645172119;0,106116672307856
2015;"IOF 2014-2015";"Outro";27522,9585571289;0,109020513047877
