year;survey;ru;wat;sum_pop_weight;perc
2001;QUIBB 2000-2001;rural;¡Gua Canalizada Dentro Da Casa Ou No Quintal;59433,56215;0,587587107
2001;QUIBB 2000-2001;rural;Compra De Outros, Cisterna;68249,89758;0,674749391
2001;QUIBB 2000-2001;rural;Outras Fontes;27772,64967;0,27457299
2001;QUIBB 2000-2001;rural;PoÁO N„O Protegido, ·Gua Da Chuva;4904944,079;48,4924981
2001;QUIBB 2000-2001;rural;PoÁO Protegido;1352992,722;13,37629868
2001;QUIBB 2000-2001;rural;Rio, Lago, Lagoa;2225599,495;22,00328435
2001;QUIBB 2000-2001;rural;Torneira P˙Blica/Fontan·Rio;1475858,904;14,59100939
2001;QUIBB 2000-2001;urbano;¡Gua Canalizada Dentro Da Casa Ou No Quintal;882353,4088;18,73214185
2001;QUIBB 2000-2001;urbano;Compra De Outros, Cisterna;573458,2452;12,1743749
2001;QUIBB 2000-2001;urbano;Outras Fontes;75201,58836;1,596510884
2001;QUIBB 2000-2001;urbano;PoÁO N„O Protegido, ·Gua Da Chuva;627360,8251;13,31871317
2001;QUIBB 2000-2001;urbano;PoÁO Protegido;675924,0788;14,34969889
2001;QUIBB 2000-2001;urbano;Rio, Lago, Lagoa;156159,833;3,315234138
2001;QUIBB 2000-2001;urbano;Torneira P˙Blica/Fontan·Rio;1719913,187;36,51332616
2003;DHS 2003;rural;In Neighbor'S Land;797130087;2,012358347
2003;DHS 2003;rural;In Own Land;714843622;1,804625811
2003;DHS 2003;rural;Inside Neighbor'S House;168215186;0,424659963
2003;DHS 2003;rural;Inside The House;131496350;0,331963103
2003;DHS 2003;rural;Other;412438909;1,041203807
2003;DHS 2003;rural;Protected Public Well;7103760112;17,93347308
2003;DHS 2003;rural;Public Water;1733806782;4,377002708
2003;DHS 2003;rural;Rainwater;268728680;0,678406713
2003;DHS 2003;rural;River/Lake;8306906249;20,9708207
2003;DHS 2003;rural;Unprotected Public Well;19974410581;50,42548577
2003;DHS 2003;urbano;In Neighbor'S Land;1305508520;6,487138663
2003;DHS 2003;urbano;In Own Land;754218520;3,747750433
2003;DHS 2003;urbano;Inside Neighbor'S House;4528579401;22,50274285
2003;DHS 2003;urbano;Inside The House;3971947303;19,73680947
2003;DHS 2003;urbano;Other;246332720;1,224039895
2003;DHS 2003;urbano;Protected Public Well;1783385911;8,86173588
2003;DHS 2003;urbano;Public Water;4103747394;20,39173087
2003;DHS 2003;urbano;Rainwater;60026800;0,298276242
2003;DHS 2003;urbano;River/Lake;644769026;3,203890295
2003;DHS 2003;urbano;Unprotected Public Well;2726050687;13,54588541
2003;IOF 2002-2003;rural;Agua Canalizada Dentro Da Casa Ou No Quintal;30285,65961;0,2451136
2003;IOF 2002-2003;rural;Compra De Outros, Cisterna;54986,05026;0,44502345
2003;IOF 2002-2003;rural;Furo/Poco Protegido;2789251,686;22,57449664
2003;IOF 2002-2003;rural;Outras Fontes;66155,30275;0,535420546
2003;IOF 2002-2003;rural;Poco Nao Protegido, Agua Da Chuva;6266634,778;50,71830787
2003;IOF 2002-2003;rural;Rio, Lago, Lagoa;2547961,671;20,62164289
2003;IOF 2002-2003;rural;Torneira Publica/Fontanio;600489,5471;4,859995006
2003;IOF 2002-2003;urbano;Agua Canalizada Dentro Da Casa Ou No Quintal;1087709,127;18,57122161
2003;IOF 2002-2003;urbano;Compra De Outros, Cisterna;687057,7341;11,73061908
2003;IOF 2002-2003;urbano;Furo/Poco Protegido;922524,2816;15,75090477
2003;IOF 2002-2003;urbano;Outras Fontes;627500,4859;10,71375637
2003;IOF 2002-2003;urbano;Poco Nao Protegido, Agua Da Chuva;1042802,648;17,80450177
2003;IOF 2002-2003;urbano;Rio, Lago, Lagoa;111726,347;1,907582366
2003;IOF 2002-2003;urbano;Torneira Publica/Fontanio;1377639,946;23,52141404
2008;MICS 2008;rural;<c1>Gua Da Chuva;84,91999985;0,196289874
2008;MICS 2008;rural;<c1>Gua Do Rio, Lagoa;9677,731087;22,36976705
2008;MICS 2008;rural;Dentro Da Casa;25,55226931;0,059063256
2008;MICS 2008;rural;Fora Da Casa/Quintal;129,195236;0,298630672
2008;MICS 2008;rural;Na Casa Do Vizinho;222,4176458;0,514111301
2008;MICS 2008;rural;Outro;107,2111854;0,247815239
2008;MICS 2008;rural;Po<e7>O N<e3>O Protegido;18945,08972;43,79097126
2008;MICS 2008;rural;Proveniente De Po<e7>O Ou Furo Protegido Com Bomba Manual;10794,2173;24,95048936
2008;MICS 2008;rural;Sem Bomba Manual;1501,698604;3,471128476
2008;MICS 2008;rural;Sem Info;14,65210828;0,033867881
2008;MICS 2008;rural;Torneira P<fa>Blica/Fontan<e1>Rio;1759,862302;4,067865636
2008;MICS 2008;urbano;<c1>Gua Da Chuva;55,23537898;0,263630553
2008;MICS 2008;urbano;<c1>Gua Do Rio, Lagoa;592,0741692;2,825885212
2008;MICS 2008;urbano;<c1>Gua Engarrafada/Mineral;49,84510791;0,237903561
2008;MICS 2008;urbano;Dentro Da Casa;1301,130753;6,210110732
2008;MICS 2008;urbano;Fora Da Casa/Quintal;3495,284288;16,68249131
2008;MICS 2008;urbano;Na Casa Do Vizinho;3739,248125;17,84689576
2008;MICS 2008;urbano;Outro;29,18162739;0,139279728
2008;MICS 2008;urbano;Po<e7>O N<e3>O Protegido;4241,745863;20,24524549
2008;MICS 2008;urbano;Proveniente De Po<e7>O Ou Furo Protegido Com Bomba Manual;1942,578268;9,271647854
2008;MICS 2008;urbano;Sem Bomba Manual;1378,870876;6,581153205
2008;MICS 2008;urbano;Sem Info;2,309329748;0,0110221
2008;MICS 2008;urbano;Torneira P<fa>Blica/Fontan<e1>Rio;4124,308649;19,68473449
2009;AIS 2009;rural;Bottled Water;10812160;0,059402487
2009;AIS 2009;rural;Cart With Small Tank;12832680;0,070503314
2009;AIS 2009;rural;Other;24736146;0,135901485
2009;AIS 2009;rural;Piped Into Dwelling;27318604;0,150089624
2009;AIS 2009;rural;Piped Into Neighbour'S Yard/Plot;148650007;0,816689741
2009;AIS 2009;rural;Piped To Yard/Plot;61077341;0,335561624
2009;AIS 2009;rural;Protected Spring;43331084;0,2380629
2009;AIS 2009;rural;Protected Well;1344495310;7,386716948
2009;AIS 2009;rural;Public Tap/Standpipe;2452759045;13,47556713
2009;AIS 2009;rural;Rainwater;28708565;0,157726131
2009;AIS 2009;rural;River/Dam/Lake/Ponds/Stream/Canal/Irirgation Channel;2311294699;12,69835573
2009;AIS 2009;rural;Tanker Truck;12058299;0,06624883
2009;AIS 2009;rural;Tube Well Or Borehole;3365555601;18,49051195
2009;AIS 2009;rural;Unprotected Spring;942390111;5,177533125
2009;AIS 2009;rural;Unprotected Well;7415507759;40,74112898
2009;AIS 2009;urbano;Bottled Water;36155000;0,466439757
2009;AIS 2009;urbano;Cart With Small Tank;7918523;0,102157764
2009;AIS 2009;urbano;Other;22556910;0,291009255
2009;AIS 2009;urbano;Piped Into Dwelling;439971456;5,676121667
2009;AIS 2009;urbano;Piped Into Neighbour'S Yard/Plot;1151710250;14,85834459
2009;AIS 2009;urbano;Piped To Yard/Plot;1207141263;15,57346638
2009;AIS 2009;urbano;Protected Spring;2985882;0,038521202
2009;AIS 2009;urbano;Protected Well;636851303;8,216090908
2009;AIS 2009;urbano;Public Tap/Standpipe;2086366394;26,91644954
2009;AIS 2009;urbano;Rainwater;2124426;0,027407461
2009;AIS 2009;urbano;River/Dam/Lake/Ponds/Stream/Canal/Irirgation Channel;298583461;3,852059104
2009;AIS 2009;urbano;Tanker Truck;7755212;0,10005087
2009;AIS 2009;urbano;Tube Well Or Borehole;593288868;7,654086993
2009;AIS 2009;urbano;Unprotected Spring;120596757;1,555832443
2009;AIS 2009;urbano;Unprotected Well;1137263239;14,67196206
2009;IOF 2008-2009;rural;Agua Canalizada Dentro Da Casa;26575,21898;0,178572948
2009;IOF 2008-2009;rural;Agua Canalizada No Quintal;153877,0946;1,033981563
2009;IOF 2008-2009;rural;Agua De Chuva;116734,5121;0,784400912
2009;IOF 2008-2009;rural;Agua De Fontanario;479013,2338;3,218743203
2009;IOF 2008-2009;rural;Agua Do Poco Ou Furo Com Bomba Manual;4040424,985;27,14975191
2009;IOF 2008-2009;rural;Agua Do Poco Protegido Sem Bomba;6858018,615;46,08265335
2009;IOF 2008-2009;rural;Agua Do Rio, Lago, Lagoa;3088837,589;20,75553303
2009;IOF 2008-2009;rural;Outro;118514,722;0,796363084
2009;IOF 2008-2009;urbano;Agua Canalizada Dentro Da Casa;1106276,507;17,26687359
2009;IOF 2008-2009;urbano;Agua Canalizada No Quintal;1587349,064;24,77550182
2009;IOF 2008-2009;urbano;Agua De Chuva;31349,03386;0,489298834
2009;IOF 2008-2009;urbano;Agua De Fontanario;929071,6308;14,50104227
2009;IOF 2008-2009;urbano;Agua Do Poco Ou Furo Com Bomba Manual;653526,3449;10,20030409
2009;IOF 2008-2009;urbano;Agua Do Poco Protegido Sem Bomba;1605861,652;25,06444814
2009;IOF 2008-2009;urbano;Agua Do Rio, Lago, Lagoa;322652,9295;5,035998965
2009;IOF 2008-2009;urbano;Agua Mineral/Agua Engarrafada;10651,49702;0,166249623
2009;IOF 2008-2009;urbano;Outro;160191,3606;2,500282663
2011;DHS 2011;rural;Borehole With Pump;6192529961;14,90507096
2011;DHS 2011;rural;Bottled Water;16743042;0,040299559
2011;DHS 2011;rural;Neighbor'S House;517775990;1,246257656
2011;DHS 2011;rural;Other;54420675;0,130987501
2011;DHS 2011;rural;Piped Into Dwelling;70289599;0,169183107
2011;DHS 2011;rural;Piped To Yard/Plot;448942735;1,080579887
2011;DHS 2011;rural;Protected Well;2711800527;6,527151188
2011;DHS 2011;rural;Public Tap/Standpipe;5353943268;12,88664001
2011;DHS 2011;rural;Rainwater;411929953;0,991492204
2011;DHS 2011;rural;River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel;8810883466;21,20730043
2011;DHS 2011;rural;Tanker Truck;47309399;0,11387106
2011;DHS 2011;rural;Unprotected Well;16909895515;40,70116644
2011;DHS 2011;urbano;Borehole With Pump;1190919380;6,254551369
2011;DHS 2011;urbano;Bottled Water;88592547;0,465276362
2011;DHS 2011;urbano;Neighbor'S House;3125463601;16,41452224
2011;DHS 2011;urbano;Other;91262238;0,479297226
2011;DHS 2011;urbano;Piped Into Dwelling;1699342954;8,924724862
2011;DHS 2011;urbano;Piped To Yard/Plot;5161091338;27,10537038
2011;DHS 2011;urbano;Protected Well;1185637950;6,226813996
2011;DHS 2011;urbano;Public Tap/Standpipe;3638187202;19,1072789
2011;DHS 2011;urbano;Rainwater;17734475;0,093139122
2011;DHS 2011;urbano;River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel;587784867;3,086968527
2011;DHS 2011;urbano;Tanker Truck;26575610;0,139571595
2011;DHS 2011;urbano;Unprotected Well;2228252013;11,70248542
2015;AIS 2015;rural;Borehole With Pump;3935855538;18,07462582
2015;AIS 2015;rural;Bottled Water;11211534;0,051486717
2015;AIS 2015;rural;Neighbor'S House;324202929;1,488836817
2015;AIS 2015;rural;Other;2330623;0,010702918
2015;AIS 2015;rural;Piped Into Dwelling;92599727;0,425245642
2015;AIS 2015;rural;Piped To Yard/Plot;643495050;2,955121735
2015;AIS 2015;rural;Protected Well;2755698578;12,65499208
2015;AIS 2015;rural;Public Tap/Standpipe;3432824126;15,76455512
2015;AIS 2015;rural;Rainwater;85581633;0,393016456
2015;AIS 2015;rural;River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel;4533351366;20,81850537
2015;AIS 2015;rural;Tanker Truck;44535211;0,204519009
2015;AIS 2015;rural;Unprotected Well;5913898849;27,15839232
2015;AIS 2015;urbano;Borehole With Pump;638567628;6,244761432
2015;AIS 2015;urbano;Bottled Water;82898765;0,810694103
2015;AIS 2015;urbano;Neighbor'S House;1623132796;15,87314583
2015;AIS 2015;urbano;Piped Into Dwelling;1109326719;10,84846836
2015;AIS 2015;urbano;Piped To Yard/Plot;3774484657;36,91191845
2015;AIS 2015;urbano;Protected Well;876984479;8,5763177
2015;AIS 2015;urbano;Public Tap/Standpipe;1298554172;12,69898544
2015;AIS 2015;urbano;Rainwater;1949778;0,019067516
2015;AIS 2015;urbano;River/Dam/Lake/Ponds/Stream/Canal/Irrigation Channel;156399534;1,529482133
2015;AIS 2015;urbano;Tanker Truck;7152929;0,069950829
2015;AIS 2015;urbano;Unprotected Well;656201436;6,4172082
2015;IOF 2014-2015;rural;<c1>Gua Canalizada Dentro  Da Casa;27172,48199;0,157343528
2015;IOF 2014-2015;rural;<c1>Gua Canalizada Na Casa Do Vizinho;187485,791;1,085645242
2015;IOF 2014-2015;rural;<c1>Gua Canalizada No Quintal;397338,8055;2,300808938
2015;IOF 2014-2015;rural;<c1>Gua Da Chuva;136026,3504;0,787666945
2015;IOF 2014-2015;rural;<c1>Gua Da Cisterna (Ou Tanque M<d3>Vel Ou Cami<c3>O);30317,55334;0,175555211
